Name	Team	GK	DF	MF	FW	Cost	GW1	GW2	GW3	GW4	GW5	Next_Opponent1	Next_Opponent2	Next_Opponent3	Next_Opponent4	Next_Opponent5	News	Selected
David Luiz	Chelsea	0	1	0	0	5.5	2.6	2.6107845631337936	3.1883516653822555	3.6356581068381746	2.6763072717471355	Arsenal	Newcastle	Bournemouth	Cardiff	West Ham		4.2
Mkhitaryan	Arsenal	0	0	1	0	7.0	2.5	3.8407263306513264	3.6711517246368426	3.1428190682285293	3.8316086306888675	Chelsea	West Ham	Cardiff	Newcastle	Everton		12.0
Felipe Anderson	West Ham	0	0	1	0	7.0	2.5	1.7100865629591837	2.4470418101581908	2.093522082060566	1.9413082615566686	Bournemouth	Arsenal	Wolves	Everton	Chelsea		3.6
Pedro	Chelsea	0	0	1	0	6.5	2.4000000000000004	2.409954981354271	2.9430938449682364	3.355992098619854	2.4704374816127403	Arsenal	Newcastle	Bournemouth	Cardiff	West Ham		3.2
Aké	Bournemouth	0	1	0	0	5.0	2.2	2.616492572708078	1.707176296498261	2.3878231074819936	2.072174825369082	West Ham	Everton	Chelsea	Leicester	Burnley		4.2
Arnautovic	West Ham	0	0	0	1	7.0	2.2	1.5048761754040818	2.153396792939208	1.8422994322132982	1.7083512701698684	Bournemouth	Arsenal	Wolves	Everton	Chelsea		19.9
Begovic	Bournemouth	1	0	0	0	4.5	2.1	2.4975610921304376	1.629577373930158	2.279285693505539	1.9779850605795781	West Ham	Everton	Chelsea	Leicester	Burnley		4.9
Fabianski	West Ham	1	0	0	0	4.5	2.1	1.4364727128857144	2.0555151205328803	1.7585585489308753	1.6306989397076017	Bournemouth	Arsenal	Wolves	Everton	Chelsea		18.1
Xhaka	Arsenal	0	0	1	0	5.5	2.0	3.0725810645210614	2.936921379709474	2.5142552545828236	3.0652869045510944	Chelsea	West Ham	Cardiff	Newcastle	Everton		4.1
King	Bournemouth	0	0	0	1	6.5	2.0	2.378629611552798	1.5519784513620556	2.170748279529085	1.8837952957900748	West Ham	Everton	Chelsea	Leicester	Burnley		7.3
